"rand1.AETOMYLAEUS.BOVINUS_PA1_RUN1_GLM","rand2.AETOMYLAEUS.BOVINUS_PA1_RUN1_GLM","rand3.AETOMYLAEUS.BOVINUS_PA1_RUN1_GLM","rand4.AETOMYLAEUS.BOVINUS_PA1_RUN1_GLM","rand5.AETOMYLAEUS.BOVINUS_PA1_RUN1_GLM","rand1.AETOMYLAEUS.BOVINUS_PA1_RUN1_MAXENT.Phillips","rand2.AETOMYLAEUS.BOVINUS_PA1_RUN1_MAXENT.Phillips","rand3.AETOMYLAEUS.BOVINUS_PA1_RUN1_MAXENT.Phillips","rand4.AETOMYLAEUS.BOVINUS_PA1_RUN1_MAXENT.Phillips","rand5.AETOMYLAEUS.BOVINUS_PA1_RUN1_MAXENT.Phillips","rand1.AETOMYLAEUS.BOVINUS_PA1_RUN2_GLM","rand2.AETOMYLAEUS.BOVINUS_PA1_RUN2_GLM","rand3.AETOMYLAEUS.BOVINUS_PA1_RUN2_GLM","rand4.AETOMYLAEUS.BOVINUS_PA1_RUN2_GLM","rand5.AETOMYLAEUS.BOVINUS_PA1_RUN2_GLM","rand1.AETOMYLAEUS.BOVINUS_PA1_RUN2_MAXENT.Phillips","rand2.AETOMYLAEUS.BOVINUS_PA1_RUN2_MAXENT.Phillips","rand3.AETOMYLAEUS.BOVINUS_PA1_RUN2_MAXENT.Phillips","rand4.AETOMYLAEUS.BOVINUS_PA1_RUN2_MAXENT.Phillips","rand5.AETOMYLAEUS.BOVINUS_PA1_RUN2_MAXENT.Phillips","rand1.AETOMYLAEUS.BOVINUS_PA1_RUN3_GLM","rand2.AETOMYLAEUS.BOVINUS_PA1_RUN3_GLM","rand3.AETOMYLAEUS.BOVINUS_PA1_RUN3_GLM","rand4.AETOMYLAEUS.BOVINUS_PA1_RUN3_GLM","rand5.AETOMYLAEUS.BOVINUS_PA1_RUN3_GLM","rand1.AETOMYLAEUS.BOVINUS_PA1_RUN3_MAXENT.Phillips","rand2.AETOMYLAEUS.BOVINUS_PA1_RUN3_MAXENT.Phillips","rand3.AETOMYLAEUS.BOVINUS_PA1_RUN3_MAXENT.Phillips","rand4.AETOMYLAEUS.BOVINUS_PA1_RUN3_MAXENT.Phillips","rand5.AETOMYLAEUS.BOVINUS_PA1_RUN3_MAXENT.Phillips","rand1.AETOMYLAEUS.BOVINUS_PA1_RUN4_GLM","rand2.AETOMYLAEUS.BOVINUS_PA1_RUN4_GLM","rand3.AETOMYLAEUS.BOVINUS_PA1_RUN4_GLM","rand4.AETOMYLAEUS.BOVINUS_PA1_RUN4_GLM","rand5.AETOMYLAEUS.BOVINUS_PA1_RUN4_GLM","rand1.AETOMYLAEUS.BOVINUS_PA1_RUN4_MAXENT.Phillips","rand2.AETOMYLAEUS.BOVINUS_PA1_RUN4_MAXENT.Phillips","rand3.AETOMYLAEUS.BOVINUS_PA1_RUN4_MAXENT.Phillips","rand4.AETOMYLAEUS.BOVINUS_PA1_RUN4_MAXENT.Phillips","rand5.AETOMYLAEUS.BOVINUS_PA1_RUN4_MAXENT.Phillips","rand1.AETOMYLAEUS.BOVINUS_PA1_RUN5_GLM","rand2.AETOMYLAEUS.BOVINUS_PA1_RUN5_GLM","rand3.AETOMYLAEUS.BOVINUS_PA1_RUN5_GLM","rand4.AETOMYLAEUS.BOVINUS_PA1_RUN5_GLM","rand5.AETOMYLAEUS.BOVINUS_PA1_RUN5_GLM","rand1.AETOMYLAEUS.BOVINUS_PA1_RUN5_MAXENT.Phillips","rand2.AETOMYLAEUS.BOVINUS_PA1_RUN5_MAXENT.Phillips","rand3.AETOMYLAEUS.BOVINUS_PA1_RUN5_MAXENT.Phillips","rand4.AETOMYLAEUS.BOVINUS_PA1_RUN5_MAXENT.Phillips","rand5.AETOMYLAEUS.BOVINUS_PA1_RUN5_MAXENT.Phillips","rand1.AETOMYLAEUS.BOVINUS_PA1_Full_GAM","rand2.AETOMYLAEUS.BOVINUS_PA1_Full_GAM","rand3.AETOMYLAEUS.BOVINUS_PA1_Full_GAM","rand4.AETOMYLAEUS.BOVINUS_PA1_Full_GAM","rand5.AETOMYLAEUS.BOVINUS_PA1_Full_GAM","rand1.AETOMYLAEUS.BOVINUS_PA1_Full_GLM","rand2.AETOMYLAEUS.BOVINUS_PA1_Full_GLM","rand3.AETOMYLAEUS.BOVINUS_PA1_Full_GLM","rand4.AETOMYLAEUS.BOVINUS_PA1_Full_GLM","rand5.AETOMYLAEUS.BOVINUS_PA1_Full_GLM","rand1.AETOMYLAEUS.BOVINUS_PA1_Full_MAXENT.Phillips","rand2.AETOMYLAEUS.BOVINUS_PA1_Full_MAXENT.Phillips","rand3.AETOMYLAEUS.BOVINUS_PA1_Full_MAXENT.Phillips","rand4.AETOMYLAEUS.BOVINUS_PA1_Full_MAXENT.Phillips","rand5.AETOMYLAEUS.BOVINUS_PA1_Full_MAXENT.Phillips"
0.854219,0.840659,0.841924,0.830981,0.880301,0.749327,0.808018,0.706082,0.757054,0.767859,1,1,1,1,1,0.803842,0.809586,0.802763,0.863523,0.800014,0.647192,0.657107,0.667483,0.645914,0.670294,0.977832,0.909894,0.953992,0.968796,0.848254,0.903875,0.878609,0.900405,0.852121,0.837521,0.781201,0.702124,0.734179,0.782741,0.815128,0.903703,0.847993,0.870659,0.865122,0.85084,0.862401,0.845057,0.785575,0.843024,0.83979,0.701739,0.669628,0.732206,0.693677,0.698218,0.863073,0.8683,0.833582,0.862209,0.869986,0.62684,0.657529,0.683127,0.667277,0.665221
0.228342,0.247408,0.248438,0.259259,0.249719,0.00366999999999995,0.00386299999999995,0.004521,0.00412599999999996,0.00442399999999998,0,0,0,0,0,0.036627,0.040635,0.037863,0.0341,0.040089,0.403647,0.401742,0.402498,0.411881,0.410151,0.456911,0.433161,0.471287,0.577068,0.570571,0.416952,0.426724,0.415893,0.410279,0.413965,0.00527200000000005,0.00603600000000004,0.00672700000000004,0.00881100000000001,0.00742600000000004,0.18905,0.173939,0.181477,0.165404,0.172779,0.204455,0.190497,0.189989,0.196155,0.204736,0.728053,0.747061,0.761421,0.709788,0.716372,0.186158,0.176653,0.163723,0.165528,0.182322,0.499884,0.516097,0.520227,0.506069,0.499348
0.631353,0.516418,0.628723,0.628987,0.545268,0.558916,0.666388,0.608771,0.591218,0.67599,0.352529,0.337049,0.323809,0.340701,0.349188,0.429768,0.418897,0.384378,0.406055,0.393106,0.791396,0.776284,0.782293,0.829698,0.743993,0.484992,0.451728,0.43879,0.432111,0.41784,0.676528,0.689834,0.717302,0.643121,0.675647,0.561783,0.537896,0.554122,0.517321,0.536273,0.613014,0.675758,0.633628,0.632123,0.667645,0.553694,0.607072,0.553144,0.598199,0.556947,0.764014,0.711475,0.696456,0.741777,0.73635,0.540043,0.585323,0.601633,0.590896,0.586979,0.22637,0.237992,0.22337,0.217833,0.21819
0,0,0,0,0,0.066149,0.087776,0.089724,0.080617,0.0908409999999999,0.379263,0.403152,0.394423,0.381889,0.413612,0,0,0,0,0,0,0,0,0,0,0.113468,0.152079,0.157075,0.138047,0.137959,0.495343,0.50023,0.463711,0.503033,0.480991,0.00977099999999997,0.008961,0.010121,0.00817000000000001,0.00948700000000002,0.52579,0.53719,0.543509,0.506899,0.545146,0.078736,0.091197,0.093604,0.100283,0.094793,0.541587,0.579613,0.566589,0.538788,0.531067,0.438008,0.450043,0.426254,0.473155,0.43623,0.17492,0.185856,0.188599,0.180201,0.200851
0.379869,0.367255,0.380252,0.395838,0.357344,0.218855,0.227022,0.227628,0.214263,0.228087,0.465664,0.481741,0.456085,0.48688,0.475497,0.270252,0.222707,0.227986,0.23745,0.258093,0,0,0,0,0,0.33045,0.327021,0.329512,0.307025,0.337277,0,0,0,0,0,0.056294,0.053603,0.058047,0.058418,0.05857,0.511798,0.510339,0.500975,0.49027,0.498187,0.280494,0.314876,0.307785,0.272277,0.296452,0.78004,0.762457,0.780665,0.785895,0.781228,0.372816,0.406279,0.388222,0.393373,0.393157,0.146436,0.129487,0.10446,0.105715,0.118727
0.413454,0.386336,0.408887,0.394831,0.387597,0.105576,0.090988,0.10833,0.099283,0.105656,0.321741,0.314699,0.339338,0.341299,0.331573,0.041454,0.041838,0.044709,0.037475,0.031757,0.640969,0.62575,0.625205,0.665176,0.632297,0.040714,0.0539809999999999,0.053145,0.039243,0.034256,0.456607,0.453194,0.44656,0.462955,0.442248,0.000291000000000041,0.000219999999999998,0.000295999999999963,0.000275000000000025,0.000238999999999989,0.475709,0.503089,0.498109,0.485472,0.475678,0,0,0,0,0,0.799508,0.810745,0.828968,0.806601,0.76372,0.394913,0.424195,0.407081,0.416231,0.414131,0.041986,0.038173,0.051025,0.0423829999999999,0.044577
0,0,0,0,0,0,0,0,0,0,0.209931,0.212857,0.224223,0.233769,0.212859,0.022483,0.0263409999999999,0.022146,0.023176,0.02652,0.659015,0.649846,0.675954,0.649639,0.657986,0.010404,0.00872300000000004,0.00727199999999995,0.00844500000000004,0.00795599999999996,0.558924,0.586555,0.585278,0.579793,0.579574,1.6000000000016e-05,1.70000000000448e-05,1.39999999999585e-05,1.6000000000016e-05,1.30000000000408e-05,0.504223,0.511905,0.496097,0.51467,0.496722,0,0,0,0,0,0.463695,0.501875,0.492438,0.4925,0.483601,0.414551,0.412395,0.425556,0.407214,0.404395,0.108566,0.111994,0.116489,0.109175,0.117026
0.378141,0.390833,0.384472,0.383293,0.406377,0.035089,0.031131,0.027323,0.02987,0.045832,0,0,0,0,0,9.09999999999522e-05,5.90000000000312e-05,9.70000000000137e-05,4.99999999999945e-05,0.000145999999999979,0.833363,0.833506,0.834066,0.831656,0.832702,0.053664,0.117962,0.082224,0.115279,0.090829,0.659973,0.694927,0.682113,0.629856,0.686761,0.094749,0.079843,0.079784,0.086951,0.09418,0.530535,0.515375,0.530579,0.495161,0.548767,0.00592499999999996,0.00554399999999999,0.00687400000000005,0.006548,0.00473199999999996,0.668697,0.689929,0.715518,0.662498,0.69211,0.430746,0.407651,0.438444,0.400864,0.407151,0.748703,0.748588,0.740206,0.733224,0.742587
0.015051,0.012377,0.015767,0.011993,0.013944,0.000507000000000035,0.000771999999999995,0.000580000000000025,0.000566999999999984,0.000624999999999987,0.028401,0.032119,0.030598,0.030013,0.034762,0.003189,0.00361500000000003,0.00357099999999999,0.00368199999999996,0.00345200000000001,0.210748,0.222277,0.215154,0.22411,0.215617,0.208082,0.229778,0.240642,0.237575,0.218644,0.315848,0.308968,0.31023,0.329091,0.334292,0.000333000000000028,0.000240000000000018,0.000282000000000004,0.000252999999999948,0.000210000000000043,0.163351,0.180229,0.164687,0.182853,0.188162,0.035151,0.039239,0.033502,0.027901,0.033261,0.293765,0.304008,0.303709,0.282883,0.302673,0.109893,0.123691,0.112769,0.109562,0.122555,0.00147399999999998,0.00105,0.00173400000000001,0.00168100000000004,0.00125600000000003
0,0,0,0,0,0.00484200000000001,0.00505800000000001,0.00588599999999995,0.00466500000000003,0.00512500000000005,0,0,0,0,0,0.00739999999999996,0.007355,0.00731700000000002,0.00641599999999998,0.00786399999999998,0.284641,0.309398,0.315035,0.336635,0.293772,0.106438,0.118923,0.121752,0.128145,0.126127,0.681845,0.63031,0.65285,0.666987,0.639372,0.00146900000000005,0.00121300000000002,0.00141500000000006,0.00127299999999997,0.00151000000000001,0.577022,0.624972,0.63105,0.601839,0.623628,0.0203140000000001,0.0243409999999999,0.019867,0.0203,0.020794,0.689381,0.701619,0.666524,0.781714,0.647663,0.558011,0.558761,0.546772,0.54582,0.549023,0.00670300000000001,0.00661199999999995,0.00681100000000001,0.00719700000000001,0.00755099999999997
