"rand1.RHINCODON.TYPUS_PA1_RUN1_GAM","rand2.RHINCODON.TYPUS_PA1_RUN1_GAM","rand3.RHINCODON.TYPUS_PA1_RUN1_GAM","rand4.RHINCODON.TYPUS_PA1_RUN1_GAM","rand5.RHINCODON.TYPUS_PA1_RUN1_GAM","rand1.RHINCODON.TYPUS_PA1_RUN1_GLM","rand2.RHINCODON.TYPUS_PA1_RUN1_GLM","rand3.RHINCODON.TYPUS_PA1_RUN1_GLM","rand4.RHINCODON.TYPUS_PA1_RUN1_GLM","rand5.RHINCODON.TYPUS_PA1_RUN1_GLM","rand1.RHINCODON.TYPUS_PA1_RUN1_MAXENT.Phillips","rand2.RHINCODON.TYPUS_PA1_RUN1_MAXENT.Phillips","rand3.RHINCODON.TYPUS_PA1_RUN1_MAXENT.Phillips","rand4.RHINCODON.TYPUS_PA1_RUN1_MAXENT.Phillips","rand5.RHINCODON.TYPUS_PA1_RUN1_MAXENT.Phillips","rand1.RHINCODON.TYPUS_PA1_RUN2_GAM","rand2.RHINCODON.TYPUS_PA1_RUN2_GAM","rand3.RHINCODON.TYPUS_PA1_RUN2_GAM","rand4.RHINCODON.TYPUS_PA1_RUN2_GAM","rand5.RHINCODON.TYPUS_PA1_RUN2_GAM","rand1.RHINCODON.TYPUS_PA1_RUN2_GLM","rand2.RHINCODON.TYPUS_PA1_RUN2_GLM","rand3.RHINCODON.TYPUS_PA1_RUN2_GLM","rand4.RHINCODON.TYPUS_PA1_RUN2_GLM","rand5.RHINCODON.TYPUS_PA1_RUN2_GLM","rand1.RHINCODON.TYPUS_PA1_RUN2_MAXENT.Phillips","rand2.RHINCODON.TYPUS_PA1_RUN2_MAXENT.Phillips","rand3.RHINCODON.TYPUS_PA1_RUN2_MAXENT.Phillips","rand4.RHINCODON.TYPUS_PA1_RUN2_MAXENT.Phillips","rand5.RHINCODON.TYPUS_PA1_RUN2_MAXENT.Phillips","rand1.RHINCODON.TYPUS_PA1_RUN3_GAM","rand2.RHINCODON.TYPUS_PA1_RUN3_GAM","rand3.RHINCODON.TYPUS_PA1_RUN3_GAM","rand4.RHINCODON.TYPUS_PA1_RUN3_GAM","rand5.RHINCODON.TYPUS_PA1_RUN3_GAM","rand1.RHINCODON.TYPUS_PA1_RUN3_GLM","rand2.RHINCODON.TYPUS_PA1_RUN3_GLM","rand3.RHINCODON.TYPUS_PA1_RUN3_GLM","rand4.RHINCODON.TYPUS_PA1_RUN3_GLM","rand5.RHINCODON.TYPUS_PA1_RUN3_GLM","rand1.RHINCODON.TYPUS_PA1_RUN3_MAXENT.Phillips","rand2.RHINCODON.TYPUS_PA1_RUN3_MAXENT.Phillips","rand3.RHINCODON.TYPUS_PA1_RUN3_MAXENT.Phillips","rand4.RHINCODON.TYPUS_PA1_RUN3_MAXENT.Phillips","rand5.RHINCODON.TYPUS_PA1_RUN3_MAXENT.Phillips","rand1.RHINCODON.TYPUS_PA1_RUN4_GAM","rand2.RHINCODON.TYPUS_PA1_RUN4_GAM","rand3.RHINCODON.TYPUS_PA1_RUN4_GAM","rand4.RHINCODON.TYPUS_PA1_RUN4_GAM","rand5.RHINCODON.TYPUS_PA1_RUN4_GAM","rand1.RHINCODON.TYPUS_PA1_RUN4_GLM","rand2.RHINCODON.TYPUS_PA1_RUN4_GLM","rand3.RHINCODON.TYPUS_PA1_RUN4_GLM","rand4.RHINCODON.TYPUS_PA1_RUN4_GLM","rand5.RHINCODON.TYPUS_PA1_RUN4_GLM","rand1.RHINCODON.TYPUS_PA1_RUN4_MAXENT.Phillips","rand2.RHINCODON.TYPUS_PA1_RUN4_MAXENT.Phillips","rand3.RHINCODON.TYPUS_PA1_RUN4_MAXENT.Phillips","rand4.RHINCODON.TYPUS_PA1_RUN4_MAXENT.Phillips","rand5.RHINCODON.TYPUS_PA1_RUN4_MAXENT.Phillips","rand1.RHINCODON.TYPUS_PA1_RUN5_GAM","rand2.RHINCODON.TYPUS_PA1_RUN5_GAM","rand3.RHINCODON.TYPUS_PA1_RUN5_GAM","rand4.RHINCODON.TYPUS_PA1_RUN5_GAM","rand5.RHINCODON.TYPUS_PA1_RUN5_GAM","rand1.RHINCODON.TYPUS_PA1_RUN5_GLM","rand2.RHINCODON.TYPUS_PA1_RUN5_GLM","rand3.RHINCODON.TYPUS_PA1_RUN5_GLM","rand4.RHINCODON.TYPUS_PA1_RUN5_GLM","rand5.RHINCODON.TYPUS_PA1_RUN5_GLM","rand1.RHINCODON.TYPUS_PA1_RUN5_MAXENT.Phillips","rand2.RHINCODON.TYPUS_PA1_RUN5_MAXENT.Phillips","rand3.RHINCODON.TYPUS_PA1_RUN5_MAXENT.Phillips","rand4.RHINCODON.TYPUS_PA1_RUN5_MAXENT.Phillips","rand5.RHINCODON.TYPUS_PA1_RUN5_MAXENT.Phillips","rand1.RHINCODON.TYPUS_PA1_Full_GAM","rand2.RHINCODON.TYPUS_PA1_Full_GAM","rand3.RHINCODON.TYPUS_PA1_Full_GAM","rand4.RHINCODON.TYPUS_PA1_Full_GAM","rand5.RHINCODON.TYPUS_PA1_Full_GAM","rand1.RHINCODON.TYPUS_PA1_Full_GLM","rand2.RHINCODON.TYPUS_PA1_Full_GLM","rand3.RHINCODON.TYPUS_PA1_Full_GLM","rand4.RHINCODON.TYPUS_PA1_Full_GLM","rand5.RHINCODON.TYPUS_PA1_Full_GLM","rand1.RHINCODON.TYPUS_PA1_Full_MAXENT.Phillips","rand2.RHINCODON.TYPUS_PA1_Full_MAXENT.Phillips","rand3.RHINCODON.TYPUS_PA1_Full_MAXENT.Phillips","rand4.RHINCODON.TYPUS_PA1_Full_MAXENT.Phillips","rand5.RHINCODON.TYPUS_PA1_Full_MAXENT.Phillips"
0.67552,0.666048,0.615907,0.589903,0.583204,0.801686,0.789663,0.81948,0.809733,0.824452,0.841665,0.812712,0.844725,0.827648,0.828429,0.792849,0.839727,0.802886,0.840433,0.798647,0.746109,0.819192,0.790295,0.775563,0.75876,0.80335,0.757971,0.82397,0.801953,0.808076,0.808756,0.82199,0.79626,0.823369,0.777102,0.817205,0.844693,0.812712,0.842789,0.8185,0.850998,0.872511,0.855455,0.834243,0.872122,0.762988,0.746256,0.758208,0.767965,0.726499,0.787054,0.792917,0.803257,0.759405,0.757077,0.837736,0.825265,0.841192,0.848596,0.826706,0.768079,0.736719,0.767025,0.734359,0.748168,0.801883,0.814925,0.758888,0.813068,0.828679,0.859007,0.821924,0.859344,0.848581,0.835125,0.775429,0.812841,0.804455,0.808097,0.800638,0.778861,0.776538,0.750718,0.77801,0.774694,0.82159,0.840707,0.851923,0.794391,0.826434
0.622597,0.660319,0.644529,0.59101,0.616586,0.662305,0.661785,0.685098,0.684985,0.673596,0.096424,0.098065,0.101426,0.090137,0.092427,0.413357,0.435299,0.419453,0.430809,0.435266,0.541736,0.570073,0.53549,0.539732,0.54992,0.076566,0.087031,0.084329,0.082018,0.084798,0.578578,0.553989,0.569176,0.585116,0.55856,0.65669,0.643356,0.632097,0.645111,0.631819,0.00831400000000004,0.00887300000000002,0.00898399999999999,0.009131,0.00821700000000003,0.703806,0.660794,0.655473,0.692347,0.674458,0,0,0,0,0,0.146845,0.150111,0.153868,0.14851,0.153828,0.785101,0.785924,0.78847,0.792218,0.758022,0,0,0,0,0,0.014941,0.015106,0.014638,0.014529,0.016141,0.692383,0.686183,0.670788,0.695725,0.678687,0.550244,0.553846,0.555886,0.546033,0.555318,0.349996,0.330242,0.32775,0.355082,0.359822
0.672942,0.618411,0.670183,0.615592,0.63697,0.112976,0.111831,0.111721,0.118176,0.110527,0.243336,0.233928,0.239474,0.234571,0.23966,0.51159,0.481533,0.442468,0.442171,0.449282,0,0,0,0,0,0.200819,0.186358,0.200196,0.205742,0.188761,0.812424,0.804851,0.823062,0.823085,0.817646,0.175028,0.170974,0.179566,0.177385,0.175725,0.168412,0.184983,0.194151,0.182507,0.184608,0.642736,0.623444,0.641017,0.663702,0.66781,0.101402,0.099085,0.095714,0.094397,0.096687,0.203475,0.21075,0.218114,0.201866,0.210867,0.693237,0.7157,0.673321,0.69205,0.663414,0.143556,0.134717,0.150848,0.146447,0.150149,0.268063,0.267344,0.254713,0.254895,0.278799,0.455647,0.443863,0.485371,0.409168,0.426841,0.070461,0.07103,0.068756,0.064835,0.073673,0.16239,0.161757,0.17403,0.163314,0.174205
0.584266,0.536086,0.56907,0.580246,0.560322,0.825204,0.787432,0.798914,0.836559,0.817829,0.00822400000000001,0.008602,0.00904700000000003,0.00879799999999997,0.00861599999999996,0.668444,0.66731,0.666046,0.665412,0.644125,0.772613,0.744969,0.745033,0.759258,0.766234,0.068414,0.069624,0.086024,0.079925,0.081301,0.489799,0.475473,0.477193,0.456413,0.438036,0.73305,0.750046,0.714267,0.732088,0.757077,0.111374,0.115819,0.116935,0.113041,0.112048,0.543078,0.591777,0.580498,0.598631,0.615184,0.697114,0.683407,0.697926,0.682963,0.685262,0.00145899999999999,0.00150300000000003,0.00145300000000004,0.001471,0.00149100000000002,0.586831,0.597613,0.60644,0.613004,0.637867,0.779217,0.755502,0.771345,0.768427,0.791449,0.329584,0.329248,0.326411,0.321516,0.317069,0.548986,0.513278,0.550586,0.512611,0.529074,0.763032,0.782074,0.751153,0.751347,0.761294,0.01375,0.015663,0.01474,0.01606,0.014416
0.554166,0.555251,0.558576,0.56073,0.588547,0,0,0,0,0,0.155353,0.159986,0.154437,0.156777,0.153331,0.790112,0.80203,0.826705,0.805951,0.848259,0.623775,0.617241,0.634348,0.631276,0.620501,0.010358,0.010709,0.013308,0.0105769999999999,0.012026,0.74212,0.75914,0.738709,0.734325,0.730212,0.654494,0.673111,0.670904,0.690246,0.664161,0.00477899999999998,0.00423200000000001,0.00494099999999997,0.00510299999999997,0.00415200000000004,0.692596,0.692121,0.71764,0.660903,0.674116,0.542321,0.56866,0.571584,0.545757,0.553191,0.00721400000000005,0.00669299999999995,0.00626800000000005,0.00739000000000001,0.00705500000000003,0.586392,0.558558,0.585466,0.560294,0.572551,0.093173,0.094861,0.095037,0.090791,0.09638,0,0,0,0,0,0.498358,0.484262,0.498726,0.520192,0.493537,0.43057,0.394458,0.431347,0.410585,0.418988,0.043206,0.043376,0.045324,0.043895,0.043247
0.827435,0.844186,0.854177,0.833739,0.824904,0.440003,0.437562,0.446595,0.442292,0.434121,0.307379,0.288288,0.288435,0.299503,0.288663,0.63231,0.650448,0.650046,0.618293,0.628306,0.463121,0.493085,0.496247,0.479586,0.478225,0.275107,0.281272,0.27227,0.270071,0.268773,0.658872,0.650698,0.698763,0.672153,0.684405,0.507674,0.497026,0.49558,0.495798,0.518315,0.459963,0.461748,0.410007,0.426911,0.392595,0.708175,0.660408,0.695975,0.685174,0.670656,0.413599,0.405215,0.394197,0.413093,0.3973,0.269219,0.275929,0.259356,0.264196,0.261118,0.748961,0.749032,0.744651,0.753266,0.789597,0.478053,0.483818,0.468173,0.477091,0.471362,0.308139,0.332614,0.318879,0.312363,0.322964,0.655086,0.616849,0.645416,0.628933,0.61815,0.510532,0.514135,0.523497,0.515355,0.505955,0.244562,0.241998,0.248627,0.231369,0.232414
0.653658,0.652943,0.646367,0.663453,0.670255,0.619599,0.632222,0.621495,0.629388,0.617377,0.00267099999999998,0.00212100000000004,0.00260400000000005,0.00268000000000002,0.00233099999999997,0.705267,0.66837,0.687593,0.68017,0.707512,0.739058,0.736237,0.744334,0.74501,0.735735,0.022468,0.025022,0.022832,0.027046,0.022351,0.692181,0.727813,0.726407,0.705226,0.752662,0.736561,0.747084,0.748248,0.752288,0.745367,0.016667,0.014285,0.011559,0.014294,0.015807,0.741197,0.766043,0.746938,0.787782,0.765726,0.732223,0.726598,0.709639,0.746546,0.727276,0,0,0,0,0,0.76739,0.795583,0.802668,0.808521,0.792444,0.724442,0.710659,0.719934,0.722874,0.722796,0,0,0,0,0,0.444221,0.462784,0.469007,0.441261,0.447748,0.711329,0.720069,0.699999,0.699661,0.720548,0.286731,0.290309,0.280575,0.277127,0.275712
0.669434,0.636993,0.63507,0.661712,0.639101,0.612396,0.599341,0.612406,0.604368,0.622927,0.170069,0.170709,0.188427,0.177064,0.176984,0.782737,0.798817,0.772682,0.811727,0.777284,0.653791,0.663152,0.661862,0.660815,0.683911,0.046081,0.0375490000000001,0.039197,0.040713,0.041795,0.524872,0.544125,0.529941,0.566831,0.582641,0.843312,0.826817,0.851993,0.822618,0.821688,0.04359,0.039313,0.034838,0.036987,0.040713,0.636533,0.614724,0.621358,0.611791,0.611612,0.815764,0.827206,0.859119,0.812801,0.83433,0.108207,0.104084,0.103105,0.110003,0.113689,0.596246,0.626633,0.622616,0.612509,0.603058,0.814214,0.806862,0.828221,0.824864,0.819206,0.280079,0.285435,0.282571,0.290438,0.291438,0.638142,0.673659,0.66938,0.654318,0.661416,0.685512,0.679746,0.670228,0.682981,0.687129,0.369596,0.383494,0.367108,0.404025,0.392769
0.698806,0.712192,0.726907,0.652914,0.719224,0.093845,0.110484,0.110548,0.102993,0.104223,0.123346,0.117526,0.135542,0.130484,0.129958,0.354847,0.332659,0.36702,0.3589,0.341843,0.389287,0.403755,0.392923,0.379016,0.390843,0.016429,0.0149280000000001,0.015163,0.014211,0.014533,0.504566,0.561165,0.537557,0.572327,0.564696,0.420731,0.425167,0.427598,0.426033,0.421093,0.016316,0.0170439999999999,0.0179049999999999,0.0182870000000001,0.016891,0.65864,0.669992,0.678474,0.633645,0.675715,0.368498,0.358704,0.364415,0.370568,0.364849,0.015744,0.01437,0.012922,0.015944,0.012843,0.726436,0.752531,0.764279,0.730669,0.715507,0.408248,0.401571,0.397563,0.401176,0.409898,0.047284,0.041439,0.051049,0.054073,0.048645,0.207427,0.163247,0.193776,0.204274,0.185348,0.328976,0.340115,0.329813,0.327178,0.335996,0.00053700000000001,0.000488999999999962,0.000497999999999998,0.000526000000000026,0.000573000000000046
0.476072,0.435473,0.465618,0.474749,0.417101,0.487211,0.516657,0.497999,0.525924,0.472721,0.067509,0.078338,0.066726,0.076444,0.069466,0.900914,0.89177,0.861282,0.874218,0.869186,0.400566,0.363772,0.361434,0.372435,0.37348,0.095476,0.101231,0.098731,0.100207,0.097195,0.45324,0.416963,0.500582,0.482887,0.450182,0.492289,0.499607,0.506935,0.444469,0.513035,0.139537,0.151979,0.142388,0.149854,0.148918,0.451602,0.513067,0.424432,0.540313,0.4627,0.399295,0.380934,0.360994,0.35923,0.395714,0.065788,0.070384,0.068119,0.0698299999999999,0.068787,0.511612,0.451172,0.517748,0.488036,0.539104,0.44265,0.425129,0.41899,0.400854,0.398784,0.0764590000000001,0.08085,0.074701,0.080608,0.07882,0.341921,0.303171,0.29319,0.32185,0.335351,0.430619,0.424397,0.412026,0.397918,0.431102,0.018759,0.020771,0.01893,0.017719,0.019366
